"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.534514210E-1,6.644686460E-1,1.837482691E0,1.016327024E0
7.555995420E-1,6.265950203E-1,1.675603390E0,8.912523985E-1
7.577468710E-1,5.887213945E-1,1.506240964E0,7.722864151E-1
7.599020330E-1,5.522221923E-1,1.320996046E0,6.603453159E-1
7.620538780E-1,5.181664228E-1,1.125824690E0,5.581781268E-1
7.642030380E-1,4.865541756E-1,9.170614481E-1,4.642575979E-1
7.663522380E-1,4.538728893E-1,7.032586336E-1,3.825543523E-1
7.685038600E-1,4.248567820E-1,4.821254015E-1,3.094032407E-1
7.706531920E-1,3.970624208E-1,2.620611787E-1,2.458732575E-1
7.727974580E-1,3.730859458E-1,4.550946131E-2,1.922698319E-1
7.749484290E-1,3.501785100E-1,-1.673770845E-1,1.484402567E-1
7.771020040E-1,3.335324228E-1,-3.607159257E-1,1.169806942E-1
7.792476130E-1,3.216205537E-1,-5.137376785E-1,9.086620808E-2
7.814087660E-1,3.144428730E-1,-6.189591885E-1,7.376197726E-2
7.835562870E-1,3.145956099E-1,-6.692028642E-1,6.475171447E-2
7.857090980E-1,3.194825351E-1,-6.826419234E-1,6.322455406E-2
7.878576270E-1,3.316998184E-1,-6.863071322E-1,6.933320314E-2
7.900106830E-1,3.451388776E-1,-7.096726894E-1,7.635815442E-2
7.921607790E-1,3.637702465E-1,-7.623597980E-1,8.903361112E-2
7.943111400E-1,3.834706545E-1,-8.422304392E-1,1.064432710E-1
7.964482640E-1,4.094324410E-1,-9.366091490E-1,1.259909570E-1
7.986134870E-1,4.366159439E-1,-1.032362223E0,1.479821056E-1
8.007698780E-1,4.686863720E-1,-1.125671983E0,1.713477075E-1
8.029155290E-1,4.995350540E-1,-1.213941932E0,1.933388561E-1
8.050636510E-1,5.303837657E-1,-1.297477722E0,2.118175179E-1
8.072097680E-1,5.624541640E-1,-1.372308731E0,2.304489166E-1
8.093635170E-1,5.931501389E-1,-1.436144233E0,2.478585690E-1
8.115139170E-1,6.201809645E-1,-1.491274834E0,2.666426897E-1
8.136659960E-1,6.461427212E-1,-1.542892933E0,2.868012190E-1
8.158156940E-1,6.695083380E-1,-1.598176241E0,3.080287874E-1
8.179658410E-1,6.867652535E-1,-1.664607763E0,3.304781020E-1
8.201175530E-1,7.005097270E-1,-1.739591479E0,3.564398587E-1
8.222733970E-1,7.081455588E-1,-1.823127270E0,3.846924007E-1
8.244169520E-1,7.060074806E-1,-1.905594110E0,4.155410826E-1
8.265663960E-1,6.953173876E-1,-1.983021259E0,4.453207552E-1
